CoC_Number,CoC_Name,CoC_Category,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_TH_Homeless,Sheltered_SH_Homeless,Sheltered_Total_Homeless,Unsheltered_Homeless,Homeless_Individuals,Sheltered_ES_Homeless_Individuals,Sheltered_TH_Homeless_Individuals,Sheltered_SH_Homeless_Individuals,Sheltered_Total_Homeless_Individuals,Unsheltered_Homeless_Individuals,Homeless_People_in_Families,Sheltered_ES_Homeless_People_in_Families,Sheltered_TH_Homeless_People_in_Families,Sheltered_Total_Homeless_People_in_Families,Unsheltered_Homeless_People_in_Families,Homeless_Family_Households,Sheltered_ES_Homeless_Family_Households,Sheltered_TH_Homeless_Family_Households,Sheltered_Total_Homeless_Family_Households,Unsheltered_Homeless_Family_Households,Chronically_Homeless,Sheltered_ES_Chronically_Homeless,Sheltered_SH_Chronically_Homeless,Sheltered_Total_Chronically_Homeless,Unsheltered_Chronically_Homeless,Chronically_Homeless_Individuals,Sheltered_ES_Chronically_Homeless_Individuals,Sheltered_SH_Chronically_Homeless_Individuals,Sheltered_Total_Chronically_Homeless_Individuals,Unsheltered_Chronically_Homeless_Individuals,Chronically_Homeless_People_in_Families,Sheltered_ES_Chronically_Homeless_People_in_Families,Sheltered_Total_Chronically_Homeless_People_in_Families,Unsheltered_Chronically_Homeless_People_in_Families,Homeless_Veterans,Sheltered_ES_Homeless_Veterans,Sheltered_TH_Homeless_Veterans,Sheltered_SH_Homeless_Veterans,Sheltered_Total_Homeless_Veterans,Unsheltered_Homeless_Veterans,Count_Year
FL-504,"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",,2176,148,545,0,693,1483,1779,83,243,0,326,1453,397,65,302,367,30,138,26,100,126,12,259,3,0,3,256,259,3,0,3,256,0,0,0,0,380,,,,51,329,2013
FL-504,"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",,2384,81,422,0,503,1881,2123,53,189,0,242,1881,261,28,233,261,0,80,8,72,80,0,289,1,0,1,288,289,1,0,1,288,0,0,0,0,83,,,,33,50,2012
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",,1577,228,74,0,302,1275,556,191,18,0,209,347,1021,37,56,93,928,393,10,24,34,359,436,123,0,123,313,354,123,0,123,231,82,0,0,82,211,45,0,0,45,166,2014
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",,1658,154,210,19,383,1275,567,52,149,19,220,347,1091,102,61,163,928,429,40,30,70,359,352,39,0,39,313,256,25,0,25,231,96,14,14,82,265,,,,99,166,2013
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",,2438,271,239,0,510,1928,975,199,163,0,362,613,1463,72,76,148,1315,562,28,26,54,508,492,233,0,233,259,448,217,0,217,231,44,16,16,28,318,,,,166,152,2012
FL-506,Tallahassee/Leon County CoC,,805,307,310,0,617,188,679,299,192,0,491,188,126,8,118,126,0,38,3,35,38,0,220,123,0,123,97,220,123,0,123,97,0,0,0,0,108,32,51,0,83,25,2014
FL-506,Tallahassee/Leon County CoC,,974,367,382,0,749,225,810,325,260,0,585,225,164,42,122,164,0,79,19,60,79,0,259,130,0,130,129,259,130,0,130,129,0,0,0,0,160,,,,114,46,2013
FL-506,Tallahassee/Leon County CoC,,797,389,349,0,738,59,634,321,254,0,575,59,163,68,95,163,0,58,24,34,58,0,175,157,0,157,18,163,145,0,145,18,12,12,12,0,121,,,,118,3,2012
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",,2254,974,1014,0,1988,266,1390,680,444,0,1124,266,864,294,570,864,0,245,97,148,245,0,125,67,0,67,58,125,67,0,67,58,0,0,0,0,299,99,156,0,255,44,2014
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",,4378,929,1368,24,2321,2057,3055,616,644,24,1284,1771,1323,313,724,1037,286,414,99,217,316,98,1577,218,20,238,1339,1332,213,20,233,1099,245,5,5,240,611,,,,257,354,2013
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",,3661,856,1345,17,2218,1443,2330,537,651,17,1205,1125,1331,319,694,1013,318,446,112,212,324,122,1030,257,17,274,756,988,240,17,257,731,42,17,17,25,574,,,,229,345,2012
FL-508,"Gainesville/Alachua, Putnam Counties CoC",,1256,161,207,0,368,888,1134,113,147,0,260,874,122,48,60,108,14,43,12,26,38,5,471,68,0,68,403,431,38,0,38,393,40,30,30,10,229,22,89,0,111,118,2014
FL-508,"Gainesville/Alachua, Putnam Counties CoC",,1718,213,200,0,413,1305,1074,155,176,0,331,743,644,58,24,82,562,280,16,9,25,255,528,226,0,226,302,401,142,0,142,259,127,84,84,43,300,,,,152,148,2013
FL-508,"Gainesville/Alachua, Putnam Counties CoC",,1814,202,187,0,389,1425,1476,98,99,0,197,1279,338,104,88,192,146,85,22,21,43,42,692,210,0,210,482,510,109,0,109,401,182,101,101,81,263,,,,133,130,2012
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",,2591,97,152,0,249,2342,1360,28,34,0,62,1298,1231,69,118,187,1044,431,23,37,60,371,131,10,0,10,121,131,10,0,10,121,0,0,0,0,118,3,1,0,4,114,2014
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",,2240,65,159,0,224,2016,866,19,19,0,38,828,1374,46,140,186,1188,377,21,40,61,316,196,6,0,6,190,154,1,0,1,153,42,5,5,37,94,,,,0,94,2013
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",,1724,65,114,0,179,1545,917,16,10,0,26,891,807,49,104,153,654,272,15,40,55,217,182,10,0,10,172,96,5,0,5,91,86,5,5,81,74,,,,8,66,2012
FL-510,"Jacksonville-Duval, Clay Counties CoC",,2049,1050,706,0,1756,293,1375,779,316,0,1095,280,674,271,390,661,13,242,95,144,239,3,431,286,0,286,145,399,267,0,267,132,32,19,19,13,224,109,73,0,182,42,2014
FL-510,"Jacksonville-Duval, Clay Counties CoC",,2768,856,815,0,1671,1097,1938,584,379,0,963,975,830,272,436,708,122,232,67,138,205,27,365,186,0,186,179,276,120,0,120,156,89,66,66,23,324,,,,204,120,2013
FL-510,"Jacksonville-Duval, Clay Counties CoC",,2861,842,700,0,1542,1319,2294,615,401,0,1016,1278,567,227,299,526,41,202,82,103,185,17,439,132,0,132,307,363,86,0,86,277,76,46,46,30,292,,,,141,151,2012
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",,843,271,340,0,611,232,721,225,269,0,494,227,122,46,71,117,5,33,14,17,31,2,184,86,0,86,98,177,79,0,79,98,7,7,7,0,100,49,26,0,75,25,2014
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",,945,242,321,0,563,382,789,195,224,0,419,370,156,47,97,144,12,62,16,43,59,3,243,53,0,53,190,234,44,0,44,190,9,9,9,0,168,,,,95,73,2013
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",,792,171,355,0,526,266,667,126,282,0,408,259,125,45,73,118,7,42,14,25,39,3,232,31,0,31,201,213,29,0,29,184,19,2,2,17,104,,,,62,42,2012
FL-512,St. Johns County CoC,,1401,97,100,0,197,1204,1062,65,15,0,80,982,339,32,85,117,222,109,9,27,36,73,65,17,0,17,48,65,17,0,17,48,0,0,0,0,48,10,1,0,11,37,2014
FL-512,St. Johns County CoC,,1437,72,161,0,233,1204,1103,49,72,0,121,982,334,23,89,112,222,120,9,38,47,73,56,8,0,8,48,56,8,0,8,48,0,0,0,0,49,,,,12,37,2013
FL-512,St. Johns County CoC,,1385,64,120,0,184,1201,996,35,21,0,56,940,389,29,99,128,261,107,11,38,49,58,79,4,0,4,75,79,4,0,4,75,0,0,0,0,43,,,,8,35,2012
FL-513,"Palm Bay, Melbourne/Brevard County CoC",,1477,95,522,0,617,860,1043,80,220,0,300,743,434,15,302,317,117,146,5,98,103,43,120,10,0,10,110,117,10,0,10,107,3,0,0,3,333,13,198,0,211,122,2014
FL-513,"Palm Bay, Melbourne/Brevard County CoC",,1567,60,647,0,707,860,1065,23,299,0,322,743,502,37,348,385,117,159,14,102,116,43,115,5,0,5,110,107,0,0,0,107,8,5,5,3,262,,,,140,122,2013
FL-513,"Palm Bay, Melbourne/Brevard County CoC",,2062,242,501,0,743,1319,1386,76,214,0,290,1096,676,166,287,453,223,317,79,141,220,97,138,73,0,73,65,138,73,0,73,65,0,0,0,0,352,,,,123,229,2012
FL-514,Ocala/Marion County CoC,,918,147,127,0,274,644,564,82,72,0,154,410,354,65,55,120,234,121,25,17,42,79,95,6,0,6,89,85,3,0,3,82,10,3,3,7,71,2,69,0,71,0,2014
FL-514,Ocala/Marion County CoC,,530,163,162,0,325,205,373,112,114,0,226,147,157,51,48,99,58,66,24,14,38,28,91,1,0,1,90,91,1,0,1,90,0,0,0,0,120,,,,52,68,2013
FL-514,Ocala/Marion County CoC,,911,107,204,0,311,600,787,93,100,0,193,594,124,14,104,118,6,48,5,40,45,3,88,3,0,3,85,88,3,0,3,85,0,0,0,0,136,,,,15,121,2012
FL-515,"Panama City/Bay, Jackson Counties CoC",,268,69,127,0,196,72,224,69,109,0,178,46,44,0,18,18,26,15,0,7,7,8,36,6,0,6,30,36,6,0,6,30,0,0,0,0,31,7,11,0,18,13,2014
FL-515,"Panama City/Bay, Jackson Counties CoC",,301,39,162,0,201,100,258,30,136,0,166,92,43,9,26,35,8,15,3,9,12,3,38,0,0,0,38,38,0,0,0,38,0,0,0,0,27,,,,11,16,2013
FL-515,"Panama City/Bay, Jackson Counties CoC",,322,106,129,0,235,87,244,99,61,0,160,84,78,7,68,75,3,28,3,24,27,1,56,38,0,38,18,49,33,0,33,16,7,5,5,2,53,,,,33,20,2012
FL-517,"Hendry, Hardee, Highlands Counties CoC",,1346,121,113,0,234,1112,829,61,10,0,71,758,517,60,103,163,354,199,30,51,81,118,117,34,0,34,83,110,27,0,27,83,7,7,7,0,50,0,0,0,0,50,2014
FL-517,"Hendry, Hardee, Highlands Counties CoC",,3847,40,96,0,136,3711,1375,15,12,0,27,1348,2472,25,84,109,2363,864,8,26,34,830,681,14,0,14,667,238,7,0,7,231,443,7,7,436,257,,,,3,254,2013
FL-517,"Hendry, Hardee, Highlands Counties CoC",,1319,0,114,0,114,1205,559,0,114,0,114,445,760,0,0,0,760,376,0,0,0,376,412,0,0,0,412,206,0,0,0,206,206,0,0,206,10,,,,0,10,2012
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",,1070,44,39,0,83,987,652,8,33,0,41,611,418,36,6,42,376,202,17,1,18,184,621,0,0,0,621,350,0,0,0,350,271,0,0,271,209,0,25,0,25,184,2014
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",,1278,45,36,0,81,1197,783,23,33,0,56,727,495,22,3,25,470,222,11,1,12,210,289,19,0,19,270,207,7,0,7,200,82,12,12,70,177,,,,27,150,2013
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",,1180,48,36,0,84,1096,803,27,36,0,63,740,377,21,0,21,356,149,7,0,7,142,255,26,0,26,229,193,13,0,13,180,62,13,13,49,241,,,,24,217,2012
FL-519,Pasco County CoC,,3356,93,63,0,156,3200,1693,40,63,0,103,1590,1663,53,0,53,1610,802,17,0,17,785,1204,17,0,17,1187,809,7,0,7,802,395,10,10,385,369,15,21,0,36,333,2014
FL-519,Pasco County CoC,,3305,63,42,0,105,3200,1653,21,42,0,63,1590,1652,42,0,42,1610,806,21,0,21,785,1200,13,0,13,1187,815,13,0,13,802,385,0,0,385,368,,,,35,333,2013
FL-519,Pasco County CoC,,4351,147,45,0,192,4159,1308,96,45,0,141,1167,3043,51,0,51,2992,1222,25,0,25,1197,1540,82,0,82,1458,1097,55,0,55,1042,443,27,27,416,98,,,,23,75,2012
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",,511,193,117,0,310,201,347,121,63,0,184,163,164,72,54,126,38,54,22,19,41,13,10,10,0,10,0,10,10,0,10,0,0,0,0,0,27,16,9,0,25,2,2014
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",,709,185,118,0,303,406,438,96,79,0,175,263,271,89,39,128,143,84,28,15,43,41,46,5,0,5,41,38,5,0,5,33,8,0,0,8,49,,,,25,24,2013
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",,1788,201,202,0,403,1385,1227,86,152,0,238,989,561,115,50,165,396,223,41,19,60,163,26,13,0,13,13,18,5,0,5,13,8,8,8,0,31,,,,26,5,2012
FL-600,Miami-Dade County CoC,,4156,1965,1325,26,3316,840,2845,1260,719,26,2005,840,1311,705,606,1311,0,385,205,180,385,0,732,267,20,287,445,688,223,20,243,445,44,44,44,0,317,83,92,0,175,142,2014
FL-600,Miami-Dade County CoC,,3802,1470,1466,27,2963,839,2485,809,810,27,1646,839,1317,661,656,1317,0,421,240,181,421,0,618,175,24,199,419,613,170,24,194,419,5,5,5,0,253,,,,193,60,2013
FL-600,Miami-Dade County CoC,,3976,1713,1368,27,3108,868,2517,940,682,27,1649,868,1459,773,686,1459,0,427,230,197,427,0,601,200,27,227,374,586,185,27,212,374,15,15,15,0,265,,,,163,102,2012
FL-601,Ft Lauderdale/Broward County CoC,,2766,917,935,35,1887,879,2028,645,523,35,1203,825,738,272,412,684,54,225,87,124,211,14,525,134,35,169,356,497,116,35,151,346,28,18,18,10,229,53,88,2,143,86,2014
FL-601,Ft Lauderdale/Broward County CoC,,2810,778,1168,35,1981,829,1900,420,632,35,1087,813,910,358,536,894,16,289,100,185,285,4,411,114,35,149,262,408,111,35,146,262,3,3,3,0,225,,,,128,97,2013
FL-601,Ft Lauderdale/Broward County CoC,,3183,774,1108,33,1915,1268,2627,578,779,33,1390,1237,556,196,329,525,31,172,60,100,160,12,760,318,26,344,416,750,312,26,338,412,10,6,6,4,370,,,,149,221,2012
FL-602,Punta Gorda/Charlotte County CoC,,511,72,127,4,203,308,265,20,66,4,90,175,246,52,61,113,133,66,22,17,39,27,156,15,4,19,137,149,8,4,12,137,7,7,7,0,63,2,33,0,35,28,2014
FL-602,Punta Gorda/Charlotte County CoC,,573,66,117,3,186,387,429,24,58,3,85,344,144,42,59,101,43,47,11,25,36,11,211,16,3,19,192,191,7,3,10,181,20,9,9,11,109,,,,21,88,2013
FL-602,Punta Gorda/Charlotte County CoC,,756,75,132,4,211,545,584,42,132,4,178,406,172,33,0,33,139,39,7,0,7,32,204,23,4,27,177,198,23,4,27,171,6,0,0,6,97,,,,26,71,2012
FL-603,"Ft Myers, Cape Coral/Lee County CoC",,871,249,178,0,427,444,700,175,154,0,329,371,171,74,24,98,73,40,17,9,26,14,281,24,0,24,257,224,21,0,21,203,57,3,3,54,120,39,20,0,59,61,2014
FL-603,"Ft Myers, Cape Coral/Lee County CoC",,848,236,216,0,452,396,699,146,191,0,337,362,149,90,25,115,34,42,26,9,35,7,180,58,0,58,122,162,47,0,47,115,18,11,11,7,70,,,,39,31,2013
FL-603,"Ft Myers, Cape Coral/Lee County CoC",,781,184,226,0,410,371,637,149,193,0,342,295,144,35,33,68,76,40,13,11,24,16,182,72,0,72,110,179,72,0,72,107,3,0,0,3,82,,,,46,36,2012
FL-604,Monroe County CoC,,678,235,148,0,383,295,594,198,126,0,324,270,84,37,22,59,25,28,15,7,22,6,116,25,0,25,91,114,23,0,23,91,2,2,2,0,92,17,19,0,36,56,2014
FL-604,Monroe County CoC,,652,225,122,0,347,305,585,188,96,0,284,301,67,37,26,63,4,23,12,9,21,2,173,63,0,63,110,173,63,0,63,110,0,0,0,0,108,,,,57,51,2013
FL-604,Monroe County CoC,,922,230,134,0,364,558,793,190,111,0,301,492,129,40,23,63,66,47,14,8,22,25,274,70,0,70,204,242,70,0,70,172,32,0,0,32,92,,,,52,40,2012
FL-605,West Palm Beach/Palm Beach County CoC,,1596,297,333,19,649,947,1327,219,272,19,510,817,269,78,61,139,130,84,25,23,48,36,396,53,19,72,324,361,51,19,70,291,35,2,2,33,151,17,37,4,58,93,2014
FL-605,West Palm Beach/Palm Beach County CoC,,1559,259,337,16,612,947,1283,172,278,16,466,817,276,87,59,146,130,78,22,20,42,36,373,33,16,49,324,332,25,16,41,291,41,8,8,33,168,,,,75,93,2013
FL-605,West Palm Beach/Palm Beach County CoC,,2116,350,353,16,719,1397,1667,194,225,16,435,1232,449,156,128,284,165,129,52,39,91,38,456,75,16,91,365,421,75,16,91,330,35,0,0,35,186,,,,76,110,2012
FL-606,Naples/Collier County CoC,,361,198,128,0,326,35,281,157,100,0,257,24,80,41,28,69,11,26,13,11,24,2,37,32,0,32,5,32,27,0,27,5,5,5,5,0,22,8,12,0,20,2,2014
FL-606,Naples/Collier County CoC,,396,207,135,0,342,54,285,141,95,0,236,49,111,66,40,106,5,36,19,16,35,1,32,26,0,26,6,29,23,0,23,6,3,3,3,0,27,,,,17,10,2013
FL-606,Naples/Collier County CoC,,455,211,139,0,350,105,300,154,41,0,195,105,155,57,98,155,0,43,18,25,43,0,41,28,0,28,13,40,27,0,27,13,1,1,1,0,25,,,,16,9,2012
GA-500,Atlanta CoC,,4797,1988,1434,0,3422,1375,4203,1708,1159,0,2867,1336,594,280,275,555,39,182,80,90,170,12,1341,628,0,628,713,1322,616,0,616,706,19,12,12,7,477,72,204,0,276,201,2014
GA-500,Atlanta CoC,,5536,2564,1239,0,3803,1733,4956,2168,1094,0,3262,1694,580,396,145,541,39,187,127,48,175,12,1431,629,0,629,802,1378,582,0,582,796,53,47,47,6,983,,,,655,328,2013
GA-500,Atlanta CoC,,6811,2315,2096,22,4433,2378,5458,1879,1221,22,3122,2336,1353,436,875,1311,42,576,213,348,561,15,1709,1076,6,1082,627,1365,743,6,749,616,344,333,333,11,1232,,,,798,434,2012
GA-501,Georgia Balance of State CoC,,7577,1298,962,0,2260,5317,5264,584,97,0,681,4583,2313,714,865,1579,734,725,217,266,483,242,1127,160,0,160,967,810,92,0,92,718,317,68,68,249,564,112,14,0,126,438,2014
GA-501,Georgia Balance of State CoC,,7651,1265,1069,0,2334,5317,5271,595,93,0,688,4583,2380,670,976,1646,734,708,238,228,466,242,1136,169,0,169,967,848,130,0,130,718,288,39,39,249,496,,,,58,438,2013
GA-501,Georgia Balance of State CoC,,11105,1129,1121,0,2250,8855,7872,455,139,0,594,7278,3233,674,982,1656,1577,1016,214,303,517,499,1795,179,0,179,1616,1314,118,0,118,1196,481,61,61,420,850,,,,141,709,2012
GA-502,Fulton County CoC,,477,57,317,0,374,103,232,9,128,0,137,95,245,48,189,237,8,85,16,67,83,2,50,9,0,9,41,46,9,0,9,37,4,0,0,4,78,9,46,0,55,23,2014
GA-502,Fulton County CoC,,428,55,243,0,298,130,206,12,64,0,76,130,222,43,179,222,0,77,14,63,77,0,55,12,0,12,43,55,12,0,12,43,0,0,0,0,33,,,,22,11,2013
GA-503,Athens-Clarke County CoC,,247,106,54,0,160,87,200,84,29,0,113,87,47,22,25,47,0,14,7,7,14,0,42,11,0,11,31,42,11,0,11,31,0,0,0,0,15,5,1,0,6,9,2014
GA-503,Athens-Clarke County CoC,,213,91,27,0,118,95,171,76,0,0,76,95,42,15,27,42,0,14,5,9,14,0,67,22,0,22,45,67,22,0,22,45,0,0,0,0,15,,,,3,12,2013
GA-503,Athens-Clarke County CoC,,361,54,84,0,138,223,273,44,14,0,58,215,88,10,70,80,8,28,5,20,25,3,71,21,0,21,50,71,21,0,21,50,0,0,0,0,29,,,,9,20,2012
GA-504,Augusta-Richmond County CoC,,472,192,134,0,326,146,358,158,80,0,238,120,114,34,54,88,26,34,10,19,29,5,83,35,0,35,48,72,32,0,32,40,11,3,3,8,65,33,16,0,49,16,2014
GA-504,Augusta-Richmond County CoC,,476,163,167,0,330,146,313,135,58,0,193,120,163,28,109,137,26,41,10,26,36,5,62,14,0,14,48,54,14,0,14,40,8,0,0,8,42,,,,26,16,2013
GA-504,Augusta-Richmond County CoC,,396,242,149,0,391,5,265,190,73,0,263,2,131,52,76,128,3,44,20,23,43,1,94,92,0,92,2,94,92,0,92,2,0,0,0,0,63,,,,63,0,2012
GA-505,Columbus-Muscogee/Russell County CoC,,312,164,35,0,199,113,257,109,35,0,144,113,55,55,0,55,0,19,19,0,19,0,65,26,0,26,39,65,26,0,26,39,0,0,0,0,21,4,2,0,6,15,2014
GA-505,Columbus-Muscogee/Russell County CoC,,294,179,55,0,234,60,246,131,55,0,186,60,48,48,0,48,0,19,19,0,19,0,58,32,0,32,26,58,32,0,32,26,0,0,0,0,42,,,,29,13,2013
GA-505,Columbus-Muscogee/Russell County CoC,,333,224,54,0,278,55,236,143,54,0,197,39,97,81,0,81,16,29,24,0,24,5,29,21,0,21,8,29,21,0,21,8,0,0,0,0,34,,,,29,5,2012
GA-506,Marietta/Cobb County CoC,,523,139,240,0,379,144,288,85,81,0,166,122,235,54,159,213,22,80,21,54,75,5,65,21,0,21,44,57,21,0,21,36,8,0,0,8,51,11,6,0,17,34,2014
GA-506,Marietta/Cobb County CoC,,495,108,243,0,351,144,263,61,80,0,141,122,232,47,163,210,22,76,16,55,71,5,60,16,0,16,44,52,16,0,16,36,8,0,0,8,59,,,,25,34,2013
GA-506,Marietta/Cobb County CoC,,392,93,250,0,343,49,193,59,88,0,147,46,199,34,162,196,3,68,14,53,67,1,40,10,0,10,30,40,10,0,10,30,0,0,0,0,35,,,,15,20,2012
GA-507,Savannah/Chatham County CoC,,1315,294,280,0,574,741,1170,200,229,0,429,741,145,94,51,145,0,59,38,21,59,0,150,55,0,55,95,150,55,0,55,95,0,0,0,0,44,25,12,0,37,7,2014
GA-507,Savannah/Chatham County CoC,,1165,269,274,0,543,622,1052,195,235,0,430,622,113,74,39,113,0,40,25,15,40,0,131,42,0,42,89,123,34,0,34,89,8,8,8,0,68,,,,39,29,2013
GA-507,Savannah/Chatham County CoC,,1118,234,253,0,487,631,1066,208,227,0,435,631,52,26,26,52,0,18,8,10,18,0,105,21,0,21,84,103,19,0,19,84,2,2,2,0,54,,,,39,15,2012
GA-508,DeKalb County CoC,,801,203,317,0,520,281,431,67,90,0,157,274,370,136,227,363,7,93,38,53,91,2,81,0,0,0,81,81,0,0,0,81,0,0,0,0,128,0,75,0,75,53,2014
GA-508,DeKalb County CoC,,713,130,369,0,499,214,402,8,190,0,198,204,311,122,179,301,10,95,37,55,92,3,82,0,0,0,82,78,0,0,0,78,4,0,0,4,67,,,,43,24,2013
GU-500,Guam CoC,,1356,57,69,0,126,1230,332,16,21,0,37,295,1024,41,48,89,935,180,10,10,20,160,67,0,0,0,67,24,0,0,0,24,43,0,0,43,36,2,4,0,6,30,2014
GU-500,Guam CoC,,1271,60,68,0,128,1143,296,11,24,0,35,261,975,49,44,93,882,167,15,10,25,142,290,1,0,1,289,51,1,0,1,50,239,0,0,239,32,,,,2,30,2013
GU-500,Guam CoC,,1301,66,121,0,187,1114,255,26,39,0,65,190,1046,40,82,122,924,165,10,19,29,136,226,0,0,0,226,22,0,0,0,22,204,0,0,204,31,,,,6,25,2012
HI-500,Hawaii Balance of State CoC,,2206,281,453,0,734,1472,1394,132,121,0,253,1141,812,149,332,481,331,212,42,95,137,75,567,65,0,65,502,452,46,0,46,406,115,19,19,96,208,13,20,0,33,175,2014
HI-500,Hawaii Balance of State CoC,,1779,244,410,0,654,1125,1159,129,112,0,241,918,620,115,298,413,207,168,37,81,118,50,395,45,0,45,350,339,25,0,25,314,56,20,20,36,160,,,,27,133,2013
HI-500,Hawaii Balance of State CoC,,1893,257,434,0,691,1202,1121,104,106,0,210,911,772,153,328,481,291,217,54,93,147,70,345,37,0,37,308,324,27,0,27,297,21,10,10,11,140,,,,28,112,2012
HI-501,Honolulu City and County CoC,,4712,881,2173,25,3079,1633,2356,349,537,25,911,1445,2356,532,1636,2168,188,578,126,400,526,52,734,112,22,134,600,657,77,22,99,558,77,35,35,42,385,47,162,5,214,171,2014
HI-501,Honolulu City and County CoC,,4556,982,2084,25,3091,1465,2196,467,409,25,901,1295,2360,515,1675,2190,170,568,136,389,525,43,785,207,21,228,557,692,166,21,187,505,93,41,41,52,398,,,,207,191,2013
HI-501,Honolulu City and County CoC,,4353,884,2126,25,3035,1318,2009,409,431,25,865,1144,2344,475,1695,2170,174,575,129,405,534,41,604,92,17,109,495,586,84,17,101,485,18,8,8,10,367,,,,202,165,2012
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",,297,140,128,0,268,29,161,107,25,0,132,29,136,33,103,136,0,42,8,34,42,0,16,10,0,10,6,16,10,0,10,6,0,0,0,0,11,8,3,0,11,0,2014
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",,236,109,115,0,224,12,115,72,31,0,103,12,121,37,84,121,0,45,15,30,45,0,65,57,0,57,8,58,50,0,50,8,7,7,7,0,11,,,,9,2,2013
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",,250,100,133,0,233,17,119,74,28,0,102,17,131,26,105,131,0,47,9,38,47,0,46,44,0,44,2,35,33,0,33,2,11,11,11,0,10,,,,8,2,2012
IA-501,Iowa Balance of State CoC,,1939,816,1058,0,1874,65,812,461,306,0,767,45,1127,355,752,1107,20,348,114,229,343,5,112,97,0,97,15,79,64,0,64,15,33,33,33,0,100,54,40,0,94,6,2014
IA-501,Iowa Balance of State CoC,,1920,710,1149,0,1859,61,833,416,358,0,774,59,1087,294,791,1085,2,344,96,247,343,1,145,129,0,129,16,108,92,0,92,16,37,37,37,0,88,,,,85,3,2013
IA-501,Iowa Balance of State CoC,,1860,736,1067,0,1803,57,818,461,304,0,765,53,1042,275,763,1038,4,328,89,238,327,1,155,124,0,124,31,129,98,0,98,31,26,26,26,0,106,,,,101,5,2012
IA-502,Des Moines/Polk County CoC,,886,431,353,0,784,102,571,316,153,0,469,102,315,115,200,315,0,97,31,66,97,0,116,47,0,47,69,116,47,0,47,69,0,0,0,0,91,43,29,0,72,19,2014
IA-502,Des Moines/Polk County CoC,,928,384,483,0,867,61,576,294,221,0,515,61,352,90,262,352,0,106,29,77,106,0,117,72,0,72,45,111,66,0,66,45,6,6,6,0,130,,,,126,4,2013
IA-502,Des Moines/Polk County CoC,,818,328,416,0,744,74,509,221,214,0,435,74,309,107,202,309,0,91,34,57,91,0,106,50,0,50,56,106,50,0,50,56,0,0,0,0,101,,,,96,5,2012
ID-500,Boise/Ada County CoC,,753,439,268,0,707,46,576,345,188,0,533,43,177,94,80,174,3,57,31,25,56,1,82,71,0,71,11,47,39,0,39,8,35,32,32,3,91,19,65,0,84,7,2014
ID-500,Boise/Ada County CoC,,694,438,207,0,645,49,544,339,159,0,498,46,150,99,48,147,3,39,22,16,38,1,108,93,0,93,15,85,73,0,73,12,23,20,20,3,112,,,,106,6,2013
ID-500,Boise/Ada County CoC,,754,482,219,0,701,53,566,375,140,0,515,51,188,107,79,186,2,54,27,26,53,1,86,71,0,71,15,74,63,0,63,11,12,8,8,4,139,,,,125,14,2012
ID-501,Idaho Balance of State CoC,,1351,300,461,0,761,590,658,180,135,0,315,343,693,120,326,446,247,207,41,100,141,66,162,34,0,34,128,109,30,0,30,79,53,4,4,49,124,11,40,0,51,73,2014
ID-501,Idaho Balance of State CoC,,1087,307,452,0,759,328,540,151,126,0,277,263,547,156,326,482,65,172,51,103,154,18,163,72,0,72,91,108,32,0,32,76,55,40,40,15,96,,,,56,40,2013
ID-501,Idaho Balance of State CoC,,1214,288,493,0,781,433,609,142,130,0,272,337,605,146,363,509,96,192,47,116,163,29,166,40,0,40,126,126,27,0,27,99,40,13,13,27,121,,,,59,62,2012
IL-500,McHenry County CoC,,166,76,85,0,161,5,108,60,43,0,103,5,58,16,42,58,0,21,7,14,21,0,10,9,0,9,1,10,9,0,9,1,0,0,0,0,25,6,19,0,25,0,2014
IL-500,McHenry County CoC,,185,63,117,0,180,5,111,51,55,0,106,5,74,12,62,74,0,24,5,19,24,0,9,8,0,8,1,9,8,0,8,1,0,0,0,0,25,,,,25,0,2013
