Location,Year,Total,Transitional_Housing,Percentage
"Santa Rosa, Petaluma/Sonoma County CoC",2013,4280,467,10.91
"Springfield/Hampden County CoC",2013,2117,227,10.72
"Gloucester, Haverhill, Salem/Essex County CoC",2012,993,106,10.67
"Gainesville/Alachua, Putnam Counties CoC",2012,1814,187,10.31
"San Francisco CoC",2013,7008,720,10.27
"Georgia Balance of State CoC",2012,11105,1121,10.09
"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",2013,376,37,9.84
"Fort Walton Beach/Okaloosa, Walton Counties CoC",2012,2438,239,9.80
"Fort Smith CoC",2014,185,18,9.73
"Roseville, Rocklin/Placer, Nevada Counties CoC",2014,762,73,9.58
"Guam CoC",2012,1301,121,9.30
"Gloucester, Haverhill, Salem/Essex County CoC",2013,1286,119,9.25
"Santa Rosa, Petaluma/Sonoma County CoC",2014,4266,387,9.07
"Merced City & County CoC",2014,768,68,8.85
"Watsonville/Santa Cruz City & County CoC",2012,2735,240,8.78
"St. Johns County CoC",2012,1385,120,8.66
"Riverside City & County CoC",2012,6096,527,8.65
"Hendry, Hardee, Highlands Counties CoC",2012,1319,114,8.64
"Arkansas  Balance of State  CoC",2012,1930,163,8.45
"Hendry, Hardee, Highlands Counties CoC",2014,1346,113,8.40
"Merced City & County CoC",2013,372,31,8.33
"Springfield/Hampden County CoC",2014,2690,224,8.33
"San Francisco CoC",2014,6408,517,8.07
"Tampa/Hillsborough County CoC",2012,7419,575,7.75
"Watsonville/Santa Cruz City & County CoC",2014,3529,273,7.74
"Gloucester, Haverhill, Salem/Essex County CoC",2014,1487,112,7.53
"St. Johns County CoC",2014,1401,100,7.14
"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2013,2240,159,7.10
"Quincy, Brockton, Weymouth, Plymouth City and County CoC",2012,1424,97,6.81
"Watsonville/Santa Cruz City & County CoC",2013,3536,239,6.76
"Quincy, Brockton, Weymouth, Plymouth City and County CoC",2013,1690,113,6.69
"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2012,1724,114,6.61
"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2014,2591,152,5.87
"Quincy, Brockton, Weymouth, Plymouth City and County CoC",2014,1643,95,5.78
"Guam CoC",2013,1271,68,5.35
"Arkansas  Balance of State  CoC",2013,1760,94,5.34
"Guam CoC",2014,1356,69,5.09
"Mendocino County CoC",2014,1404,69,4.91
"Mendocino County CoC",2013,1392,68,4.89
"Arkansas  Balance of State  CoC",2014,1056,50,4.73
"Fort Walton Beach/Okaloosa, Walton Counties CoC",2014,1577,74,4.69
"Colorado Balance of State CoC",2012,9283,384,4.14
"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",2014,1070,39,3.64
"Delta Hills CoC",2012,785,27,3.44
"San Luis Obispo County CoC",2012,2129,72,3.38
"Gadsden/Northeast Alabama CoC",2014,438,14,3.20
"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",2012,1180,36,3.05
"San Luis Obispo County CoC",2014,2366,72,3.04
"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",2013,1278,36,2.82
"San Luis Obispo County CoC",2013,2357,66,2.80
