Location,Year,Total,Emergency_Shelters,Percentage
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2012,1707,347,20.33
"Honolulu City and County CoC",2012,4353,884,20.31
"Davis, Woodland/Yolo County CoC",2012,513,104,20.27
"Tampa/Hillsborough County CoC",2013,1909,387,20.27
"Richmond/Contra Costa County CoC",2012,2386,483,20.24
"Champaign, Urbana, Rantoul/Champaign County CoC",2012,209,42,20.10
"Oxnard, San Buenaventura/Ventura County CoC",2013,1674,334,19.95
"Montgomery City & County CoC",2012,487,96,19.71
"San Bernardino City & County CoC",2014,2315,454,19.61
"Riverside City & County CoC",2014,2945,575,19.52
"Visalia/Kings, Tulare Counties CoC",2012,771,147,19.07
"Honolulu City and County CoC",2014,4712,881,18.70
"West Palm Beach/Palm Beach County CoC",2014,1596,297,18.61
"Riverside City & County CoC",2013,2978,550,18.47
"DeKalb County CoC",2013,713,130,18.23
"Los Angeles City & County CoC",2013,35524,6468,18.21
"Florence/Northwest Alabama CoC",2014,209,38,18.18
"Oxnard, San Buenaventura/Ventura County CoC",2012,1926,350,18.17
"Los Angeles City & County CoC",2014,34393,6214,18.07
"Merced City & County CoC",2012,502,89,17.73
"Georgia Balance of State CoC",2014,7577,1298,17.13
"Oxnard, San Buenaventura/Ventura County CoC",2014,1428,240,16.81
"West Palm Beach/Palm Beach County CoC",2013,1559,259,16.61
"West Palm Beach/Palm Beach County CoC",2012,2116,350,16.54
"Georgia Balance of State CoC",2013,7651,1265,16.53
"Santa Ana, Anaheim/Orange County CoC",2012,7010,1154,16.46
"Tampa/Hillsborough County CoC",2014,1944,314,16.15
"Delta Hills CoC",2013,254,41,16.14
"Ocala/Marion County CoC",2014,918,147,16.01
"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",2014,382,61,15.97
"San Bernardino City & County CoC",2012,2532,382,15.09
"East St. Louis, Belleville/St. Clair County CoC",2013,213,32,15.02
"El Dorado County CoC",2013,180,27,15.00
"Athens-Clarke County CoC",2012,361,54,14.96
"Vallejo/Solano County CoC",2013,1329,193,14.52
"Long Beach CoC",2014,2738,396,14.46
"Fort Walton Beach/Okaloosa, Walton Counties CoC",2014,1577,228,14.46
"Punta Gorda/Charlotte County CoC",2014,511,72,14.09
"San Diego City and County CoC",2014,8506,1179,13.86
"Lakeland, Winterhaven/Polk County CoC",2012,881,122,13.85
"Vallejo/Solano County CoC",2014,1295,178,13.75
"Hawaii Balance of State CoC",2013,1779,244,13.72
"Long Beach CoC",2013,2847,389,13.66
"Hawaii Balance of State CoC",2012,1893,257,13.58
"Watsonville/Santa Cruz City & County CoC",2012,2735,370,13.53
"Daly/San Mateo County CoC",2014,2024,271,13.39
"Santa Rosa, Petaluma/Sonoma County CoC",2014,4266,570,13.36
"Long Beach CoC",2012,3170,420,13.25
"San Jose/Santa Clara City & County CoC",2012,7053,926,13.13
"East St. Louis, Belleville/St. Clair County CoC",2012,451,59,13.08
"Panama City/Bay, Jackson Counties CoC",2013,301,39,12.96
"Fulton County CoC",2013,428,55,12.85
"Gainesville/Alachua, Putnam Counties CoC",2014,1256,161,12.82
"Hawaii Balance of State CoC",2014,2206,281,12.74
"Gainesville/Alachua, Putnam Counties CoC",2013,1718,213,12.40
"New Orleans/Jefferson Parish CoC",2012,4903,601,12.26
"San Jose/Santa Clara City & County CoC",2013,7631,918,12.03
"Daly/San Mateo County CoC",2013,1995,240,12.03
"Salinas/Monterey, San Benito Counties CoC",2013,2955,355,12.01
"Fulton County CoC",2014,477,57,11.95
"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",2012,379,45,11.87
"Merced City & County CoC",2014,768,91,11.85
"Santa Rosa, Petaluma/Sonoma County CoC",2012,4483,530,11.82
"Santa Rosa, Petaluma/Sonoma County CoC",2013,4280,504,11.78
"Ocala/Marion County CoC",2012,911,107,11.75
"Palm Bay, Melbourne/Brevard County CoC",2012,2062,242,11.74
"Punta Gorda/Charlotte County CoC",2013,573,66,11.52
"Fresno City & County/Madera County CoC",2014,2592,297,11.46
"Watsonville/Santa Cruz City & County CoC",2013,3536,402,11.37
"Citrus, Hernando, Lake, Sumter Counties CoC",2012,1788,201,11.24
"Gainesville/Alachua, Putnam Counties CoC",2012,1814,202,11.14
"Fort Walton Beach/Okaloosa, Walton Counties CoC",2012,2438,271,11.12
"Tuscaloosa City & County CoC",2013,99,11,11.11
"San Jose/Santa Clara City & County CoC",2014,7567,819,10.82
"San Diego City and County CoC",2013,8879,947,10.67
"Colusa, Glenn, Trinity Counties CoC",2014,567,59,10.41
"San Diego City and County CoC",2012,10013,1040,10.39
"Watsonville/Santa Cruz City & County CoC",2014,3529,361,10.23
"Georgia Balance of State CoC",2012,11105,1129,10.17
"Humboldt County CoC",2014,932,94,10.09
"Salinas/Monterey, San Benito Counties CoC",2012,2673,267,9.99
"Punta Gorda/Charlotte County CoC",2012,756,75,9.92
"Florence/Northwest Alabama CoC",2013,223,22,9.87
"Salinas/Monterey, San Benito Counties CoC",2014,2962,287,9.69
"Florence/Northwest Alabama CoC",2012,192,18,9.38
"Fort Walton Beach/Okaloosa, Walton Counties CoC",2013,1658,154,9.29
"Hendry, Hardee, Highlands Counties CoC",2014,1346,121,8.99
"Daly/San Mateo County CoC",2012,1845,156,8.46
"Mendocino County CoC",2014,1404,117,8.33
"Tuscaloosa City & County CoC",2012,152,12,7.89
"Riverside City & County CoC",2012,6096,479,7.86
"Mendocino County CoC",2013,1392,106,7.61
"San Luis Obispo County CoC",2012,2129,156,7.33
"San Luis Obispo County CoC",2014,2366,172,7.27
"San Luis Obispo County CoC",2013,2357,169,7.17
"St. Johns County CoC",2014,1401,97,6.92
"Champaign, Urbana, Rantoul/Champaign County CoC",2014,205,14,6.83
"Colorado Balance of State CoC",2012,9283,631,6.80
"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",2013,2176,148,6.80
"Mendocino County CoC",2012,1441,97,6.73
"Palm Bay, Melbourne/Brevard County CoC",2014,1477,95,6.43
"Humboldt County CoC",2013,864,55,6.37
"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",2014,1633,102,6.25
"Fresno City & County/Madera County CoC",2013,3131,184,5.88
"Delta Hills CoC",2012,785,40,5.10
"Tampa/Hillsborough County CoC",2012,7419,377,5.08
"Guam CoC",2012,1301,66,5.07
"St. Johns County CoC",2013,1437,72,5.01
"Guam CoC",2013,1271,60,4.72
"St. Johns County CoC",2012,1385,64,4.62
"Tuscaloosa City & County CoC",2014,245,11,4.49
"Guam CoC",2014,1356,57,4.20
"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",2014,1070,44,4.11
"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",2012,1180,48,4.07
"Palm Bay, Melbourne/Brevard County CoC",2013,1567,60,3.83
"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2012,1724,65,3.77
"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",2014,2591,97,3.74
"Del Norte County CoC",2012,437,16,3.66
"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",2013,1278,45,3.52
